                                            Judd Ofelt Analysis   
        
  Transition       Wavelength        S(ED)      A(ED)               A(MD)          BETA       Life Time 
_______________________________________________________________________________________________________ 
  1S0 - 3P2         272.807         1.162      123823.527          0.000         0.142         0.008  
  1S0 - 3P1         261.835         0.000           0.000        459.331         0.001         0.008  
  1S0 - 3P0         255.161         0.000           0.000          0.000         0.000         0.008  
  1S0 - 1I6         250.897         0.851      119030.611          0.000         0.137         0.004  
  1S0 - 1D2         214.147         0.804      191467.476          0.000         0.220         0.002  
  1S0 - 1G4         187.333         0.438      167798.270          0.000         0.192         0.002  
  1S0 - 3F2         167.966         0.190      110484.154          0.000         0.127         0.001  
  1S0 - 3F3         166.210         0.000           0.000          0.000         0.000         0.001  
  1S0 - 3H4         161.337         0.066       45500.510          0.000         0.052         0.001  
  1S0 - 3H5         150.880         0.000           0.000          0.000         0.000         0.001  
  1S0 - 3F4         145.176         0.101      112917.326          0.000         0.130         0.001  
  1S0 - 3H6         134.291         0.000         418.923          0.000         0.000         0.001  
   
  3P2 - 3P1        6510.417         0.671           0.570          0.051         0.000      1611.656  
  3P2 - 3P0        3944.773         0.466           2.632          0.000         0.000       307.484  
  3P2 - 1I6        3124.024         1.199          14.374          0.000         0.000        56.734  
  3P2 - 1D2         995.917         0.167          66.471         36.689         0.003         8.279  
  3P2 - 1G4         597.907         2.468        4608.483          0.000         0.123         0.211  
  3P2 - 3F2         437.063         0.062         303.268          0.294         0.008         0.199  
  3P2 - 3F3         425.369         0.783        4143.723         60.125         0.112         0.108  
  3P2 - 3H4         394.851         1.055        7023.263          0.000         0.187         0.062  
  3P2 - 3H5         337.587         0.502        5439.281          0.000         0.145         0.046  
  3P2 - 3F4         310.308         0.587        8293.845          0.000         0.221         0.033  
  3P2 - 3H6         264.487         0.320        7542.782          0.000         0.201         0.027  
   
  3P1 - 3P0       10010.010         0.000           0.000          0.000         0.000       307.484  
  3P1 - 1I6        6006.006         0.002           0.003          0.000         0.000        29.079  
  3P1 - 1D2        1175.779         1.709         685.020         16.994         0.017         1.424  
  3P1 - 1G4         658.371         0.005          11.468          0.000         0.000         1.402  
  3P1 - 3F2         468.516         0.534        3495.997         12.933         0.085         0.237  
  3P1 - 3F3         455.104         2.380       17047.178          0.000         0.415         0.047  
  3P1 - 3H4         420.345         0.437        3997.930          0.000         0.097         0.040  
  3P1 - 3H5         356.049         0.447        6834.464          0.000         0.166         0.031  
  3P1 - 3F4         325.839         0.117        2359.937          0.000         0.057         0.029  
  3P1 - 3H6         275.687         0.192        6596.682          0.000         0.161         0.024  
   
  3P0 - 1I6       15015.015         0.028           0.052          0.000         0.000     19377.991  
  3P0 - 1D2        1332.268         0.103          84.667          0.000         0.002        11.804  
  3P0 - 1G4         704.722         0.056         319.283          0.000         0.006         2.475  
  3P0 - 3F2         491.521         1.341       22753.006          0.000         0.449         0.043  
  3P0 - 3F3         476.781         0.000           0.000          0.000         0.000         0.043  
  3P0 - 3H4         438.770         0.023         543.466          0.000         0.011         0.042  
  3P0 - 3H5         369.181         0.000           0.000          0.000         0.000         0.042  
  3P0 - 3F4         336.802         0.292       15964.606          0.000         0.315         0.025  
  3P0 - 3H6         283.495         0.117       11041.682          0.000         0.218         0.020  
   
  1I6 - 1D2        1461.988         1.354          64.693          0.000         0.007        15.458  
  1I6 - 1G4         739.426         3.169        1194.135          0.000         0.128         0.794  
  1I6 - 3F2         508.156         0.568         670.123          0.000         0.072         0.518  
  1I6 - 3F3         492.417         0.014          18.729          0.000         0.002         0.513  
  1I6 - 3H4         451.977         0.728        1229.720          0.000         0.132         0.315  
  1I6 - 3H5         378.487         0.014          42.143         11.562         0.006         0.309  
  1I6 - 3F4         344.531         1.364        5335.423          0.000         0.573         0.117  
  1I6 - 3H6         288.951         0.103         702.094         37.432         0.079         0.107  
   
  1D2 - 1G4        1496.110         0.885         102.545          0.000         0.006         9.752  
  1D2 - 3F2         778.877         0.577         483.048         30.505         0.030         1.623  
  1D2 - 3F3         742.501         0.702         679.206         50.487         0.042         0.743  
  1D2 - 3H4         654.236         0.849        1206.033          0.000         0.070         0.392  
  1D2 - 3H5         510.699         0.027          81.984          0.000         0.005         0.380  
  1D2 - 3F4         450.755         2.320       10269.462          0.000         0.597         0.077  
  1D2 - 3H6         360.127         0.485        4291.831          0.000         0.250         0.058  
   
  1G4 - 3F2        1624.695         0.165           8.271          0.000         0.005       120.905  
  1G4 - 3F3        1474.057         0.580          39.066          1.905         0.027        20.308  
  1G4 - 3H4        1162.656         1.170         161.784         17.460         0.116         4.377  
  1G4 - 3H5         775.374         1.112         524.108         69.284         0.384         1.217  
  1G4 - 3F4         645.120         0.147         120.671          5.675         0.082         1.055  
  1G4 - 3H6         474.293         0.283         595.800          0.000         0.386         0.648  
   
  3F2 - 3F3       15898.251         0.095           0.027          0.055         0.000     12322.914  
  3F2 - 3H4        4088.307         1.434           7.196          0.000         0.007       137.410  
  3F2 - 3H5        1483.239         1.226         145.768          0.000         0.134         6.534  
  3F2 - 3F4        1069.976         1.266         405.022          0.000         0.373         1.792  
  3F2 - 3H6         669.837         0.400         528.982          0.000         0.487         0.920  
   
  3F3 - 3H4        5503.577         1.135           1.417          0.097         0.001       660.856  
  3F3 - 3H5        1635.858         2.759         174.062          0.000         0.107         5.696  
  3F3 - 3F4        1147.184         0.274          50.817         32.974         0.052         3.856  
  3F3 - 3H6         699.301         1.645        1363.591          0.000         0.840         0.616  
   
  3H4 - 3H5        2327.747         0.581           9.685          4.522         0.015        70.387  
  3H4 - 3F4        1449.275         0.950          67.315         11.676         0.086        10.730  
  3H4 - 3H6         801.089         1.940         828.303          0.000         0.899         1.085  
   
  3H5 - 3F4        3840.246         1.923           5.394          0.103         0.026       181.934  
  3H5 - 3H6        1221.449         1.647         160.436         44.061         0.974         4.762  
   
  3F4 - 3H6        1791.152         3.192         118.814          0.000         1.000         8.417  
   
